["2020-12-05","negative"]	2167
["2020-12-05","positive"]	1534
["2020-12-06","negative"]	873
["2020-12-06","positive"]	671
["2020-12-07","negative"]	876
["2020-12-07","positive"]	570
["2020-12-08","negative"]	4002
["2020-12-08","positive"]	2987
["2020-12-09","negative"]	2833
["2020-12-09","positive"]	1721
["2020-12-10","negative"]	2199
["2020-12-10","positive"]	1562
["2020-12-11","negative"]	1841
["2020-12-11","positive"]	1203
["2020-12-12","negative"]	2417
["2020-12-12","positive"]	2046
["2020-12-13","negative"]	2956
["2020-12-13","positive"]	2249
["2020-12-14","negative"]	2416
["2020-12-14","positive"]	2140
["2020-12-15","negative"]	1360
["2020-12-15","positive"]	944
["2020-12-16","negative"]	3688
["2020-12-16","positive"]	2455
["2020-12-17","negative"]	2557
["2020-12-17","positive"]	2051
["2020-12-18","negative"]	926
["2020-12-18","positive"]	615
["2020-12-19","negative"]	4977
["2020-12-19","positive"]	3257
["2020-12-20","negative"]	1802
["2020-12-20","positive"]	1205
["2020-12-21","negative"]	860
["2020-12-21","positive"]	638
["2020-12-22","negative"]	437
["2020-12-22","positive"]	340
["2020-12-23","negative"]	4510
["2020-12-23","positive"]	3252
["2020-12-24","negative"]	4387
["2020-12-24","positive"]	3094
["2020-12-25","negative"]	2851
["2020-12-25","positive"]	1787
["2020-12-26","negative"]	1713
["2020-12-26","positive"]	1223
["2020-12-27","negative"]	2687
["2020-12-27","positive"]	1590
["2020-12-28","negative"]	3177
["2020-12-28","positive"]	1815
["2020-12-29","negative"]	460
["2020-12-29","positive"]	251
["2020-12-30","negative"]	11383
["2020-12-30","positive"]	8381
["2020-12-31","negative"]	15313
["2020-12-31","positive"]	11510
["2021-01-01","negative"]	9859
["2021-01-01","positive"]	7250
["2021-01-02","negative"]	8322
["2021-01-02","positive"]	5541
["2021-01-03","negative"]	13246
["2021-01-03","positive"]	8678
["2021-01-04","negative"]	13980
["2021-01-04","positive"]	9184
["2021-01-05","negative"]	11368
["2021-01-05","positive"]	8648
["2021-01-06","negative"]	12454
["2021-01-06","positive"]	8394
["2021-01-07","negative"]	14912
["2021-01-07","positive"]	9488
["2021-01-08","negative"]	14328
["2021-01-08","positive"]	10938
["2021-01-09","negative"]	5280
["2021-01-09","positive"]	3656
["2021-01-10","negative"]	12275
["2021-01-10","positive"]	9364
["2021-01-11","negative"]	13874
["2021-01-11","positive"]	9898
["2021-01-12","negative"]	14046
["2021-01-12","positive"]	11245
["2021-01-13","negative"]	2058
["2021-01-13","positive"]	1297
